,Добыча полезных ископаемых,Обрабатывающие производства,Производство кокса и нефтепродуктов,Строительство,Образование,Кумулятивная инфляция,Годовая инфляция,"Добыча полезных ископаемых, с учётом инфляции","Обрабатывающие производства, с учётом инфляции","Производство кокса и нефтепродуктов, с учётом инфляции",Прирост % Добыча полезных ископаемых,Прирост % Обрабатывающие производства,Прирост % Производство кокса и нефтепродуктов
2000,5940.2,2365.2,4916.3,2639.8,1240.2,8.938028518607025,20.2,53093.677006229445,21140.225052209335,43942.02960602772,,,
2001,9099.2,3446.6,7012.4,3859.3,1833.0,7.435963825796194,18.58,67661.32204368473,25628.792921989163,52143.95273201323,53.18002760849805,45.72129206832405,42.63572198604641
2002,11080.9,4439.1,9625.3,4806.9,2927.3,6.2708414789983085,15.06,69486.56734463235,27836.892409421394,60358.730487802415,21.77883770001756,28.79649509661697,37.261137413724256
2003,13912.4,5603.4,11879.0,6176.7,3386.6,5.450062123238578,11.99,75823.44428334439,30538.878101355047,64741.28796195107,25.552978548673842,26.22828951814555,23.414335137606113
2004,16841.7,6848.9,13729.3,7304.7,4203.4,4.866561410160353,11.74,81961.16730149761,33330.59244204724,66814.48156851453,21.055317558437082,22.2275761145019,15.5762269551309
2005,19726.9,8420.9,19397.1,9042.8,5429.7,4.355254528512934,10.91,85915.67055852182,36675.16285915457,84479.30761501823,17.13128722159878,22.952590927010185,41.28251258257887
2006,23145.2,10198.5,22319.6,10869.2,6983.3,3.9268366499981378,9.0,90887.4196315369,40047.84357500601,87645.42329329843,17.32811541600554,21.109382607559766,15.066685226142052
2007,28107.5,12878.7,28565.0,14333.4,8778.3,3.602602431190952,11.87,101260.14783469967,46396.83593057891,102908.33844696954,21.439866581407795,26.28033534343286,27.981684259574546
2008,33206.1,16049.9,34912.5,18574.0,11316.8,3.2203472165825975,13.28,106935.17170856339,51686.25079142903,112430.37219893993,18.139642444187487,24.623603313999066,22.22124978120077
2009,35363.4,16583.1,37963.7,18122.2,13293.6,2.842820636107519,8.8,100531.80328292464,47142.77889063459,107923.989782995,6.496697895868531,3.322139078748143,8.73956319369853
2010,39895.0,19078.0,41563.4,21171.7,14075.2,2.6128866140694105,8.78,104241.11146829913,49848.650823216216,108600.45149521253,12.814378707929652,15.044834801695718,9.481952496727143
2011,45132.0,21780.8,48462.6,23682.0,15809.1,2.4019917393541186,6.1,108406.69118053008,52317.301676524185,116406.7648676229,13.12695826544681,14.167103469965392,16.59921950562273
2012,50400.6,24511.7,59195.0,25950.6,18995.3,2.2638941935477086,6.58,114101.62569132065,55491.89530398337,134011.21678705662,11.673756979526729,12.538106956585615,22.14573712512329
2013,54161.2,27044.5,64760.1,27701.4,23457.9,2.124126659361708,6.45,115045.24882302132,57445.94343910771,137558.65487293014,7.461419110089951,10.333024637214061,9.401300785539313
2014,58959.0,29511.0,75517.0,29354.0,25862.0,1.9954219439753011,11.36,117648.08239483977,58886.89698865511,150688.2789431828,8.858370937128424,9.120153820555021,16.61038200991043
2015,63695.0,31910.0,81605.0,29960.0,26928.0,1.7918659698054071,12.91,114132.9029467554,57178.44309649054,146225.22246597026,8.032700690310213,8.129172173087994,8.06176092800297
2016,69936.0,34592.0,88194.0,32332.0,28088.0,1.5869860683778294,5.38,110987.45767807188,54897.02207732588,139962.64931451427,9.798257320040825,8.404888749608276,8.07426015562771
2017,74474.1,38501.5,95956.7,33677.9,30257.6,1.505965143649487,2.52,112155.39870466627,57981.916978220725,144507.44549963073,6.488932738503794,11.301746068455131,8.80184593056217
2018,83178.0,40722.0,87591.0,38518.0,34361.0,1.468947662553148,4.27,122184.12867584574,59818.48671448929,128666.59471069278,11.687150297888781,5.767307767229846,-8.71820310619269
2019,89343.7,43855.0,81685.2,42629.9,37071.9,1.4087922341547405,3.05,125866.71073065088,61782.583428856145,115077.47540537681,7.412657193007766,7.693629978881189,-6.742473541802241
2020,95359.0,46510.0,82106.0,44738.0,39563.0,1.3670958118920336,4.91,130364.88952621243,63583.62621109848,112246.76873120731,6.732763474089398,6.0540417284232095,0.5151483989755734
2021,103473.5,52409.6,87214.4,51944.2,43390.5,1.303112965296,8.39,134837.65941455567,68295.62926597724,113650.21540051146,8.509422288404878,12.684583960438612,6.22171339487978
2022,118375.7,60438.7,97720.3,60849.5,48400.2,1.20224464,11.92,142316.550831248,72662.103123568,117483.706894192,14.401948324933445,15.31990322383685,12.046061200902614
2023,130825.6,71273.3,109541.0,68944.4,54262.7,1.0742,7.42,140532.85952,76561.77886,117668.9422,10.517276772175377,17.926593391320477,12.09646306857428
